11个城市,保定,北京,成都,佛山,阜阳,广州,贵阳,杭州,合肥,济南,茂名,南昌,南京,莆田,厦门,汕头,上海,绍兴,深圳,石家庄,苏州,太原,唐山,天津,武汉,西安,襄阳,盐城,扬州,长春,长沙,郑州,淄博,常州,淮安,连云港,南宁,徐州,重庆,大连,昆明,南通,宁波,沈阳,无锡,枣庄,青岛,哈尔滨,临沂,乌鲁木齐
时间,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
degree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4
24,134,124.5,176.3,170,131.5,112.8,66.7,104.6,249.4,66.9,190,132.9,40.8,48,98.9,65.5,39.7,122.6,64.1,84.9,56.6,85,39.3,69,89.8,79.1,146,50,90.2,53.4,201.9,96.9,47.8,49.5,55.6,34.8,92.9,53.3,71.4,63.2,32.9,60.3,87.8,59.2,58.1,100,15.5,108.5,43.2,60.7
23,137.9,127.7,174.8,175,138,127,72.9,93.8,262.8,86.2,215.6,120.5,39.8,64.6,122.2,66,40.7,125.5,67.1,87.1,55.6,99.7,36.4,63.4,96.1,79.2,152.9,65.2,79.1,55,244.4,97,56.4,50.4,59.6,43.2,117.9,55.7,71.9,71.4,41.7,98.5,98.2,60.5,63.7,133.3,24,113.6,44.8,58.3
22,135.7,133.6,175.5,158.6,127.5,132.9,70,89.1,213,88,203.9,109.6,37.3,60,117.8,70.5,42.6,117.2,65.2,90.3,54.7,95.7,36.9,59.2,100,79.7,153.8,76.1,73.5,53.4,293.2,93.8,64.1,41.8,62,41.3,146.4,56.7,76,88.2,39,147.1,102.7,68.4,58.5,120.6,28.1,117.3,48.7,61.7
21,122.3,146.1,177.5,145.6,106.5,138.6,72.9,60.8,136.1,94.8,161,106.8,41.8,60.9,127.1,73.3,38.7,105.8,65.5,85,53.3,86.4,42.6,56.4,104,80.1,158.7,56.5,80,49.7,306.1,94.5,72,38.7,61.9,38,151.7,56.4,77.6,93,40,141.9,92.8,55.9,52.8,100,22.5,107,52.9,62.4
20,110.7,162.5,177.9,147,107.5,130.8,74.2,48.1,100,101.3,142.7,107.3,46.9,70,140,74,40.4,106,62.4,73.1,47.7,82.4,43.8,55.2,106.5,81.5,156.1,47.9,91,50,323.6,94.4,68.8,36.4,33.3,30,172.2,54.8,81.8,94.4,44.7,64.3,96.4,45.6,57.6,79.4,19.7,99.7,60,53.2
19,112.2,156.4,175.2,144.5,87.9,137.5,71.9,45.3,91,110.7,132.9,112.5,61.7,65,157.5,71.1,38.9,105.2,60.9,82.1,44.2,81.9,46.2,59.6,107.3,86.8,157,35.4,111.1,55.9,336.2,92.8,70.6,37,38.1,26.9,193.9,51.6,84.1,101.4,42,46.4,89.2,46.1,59.1,102.9,24,90.2,61.2,60.3
18,118.6,166.3,169.6,138.9,91.1,143.5,77.3,38.3,74.1,107.4,133.3,115.3,70.1,73.7,140,74.3,35.7,103.7,65.4,79.5,46.4,79.6,56.7,65.1,108.8,86.8,153.9,33.3,132,61.4,303.2,89.3,76.6,37.6,45.7,21.4,217,54.8,93.4,109.9,34.1,57.1,91.1,52.2,68.8,97.4,24,87.4,70,63.9
17,130.9,186.7,167.2,158.8,103.8,146.3,94,35.6,67.1,141.8,230,112.1,59.3,80,132.5,66.7,33.3,105.2,70.8,90.1,46.4,57,57.3,80.2,107.7,89.9,137.4,37.5,147.7,57.1,317.4,84.1,81.9,44.4,66.7,29.2,226.4,60.5,100,122.7,40,81,94.8,63.8,68.6,136.8,29.1,81.1,82.7,76.1
16,155.9,212.9,162.1,151.8,121.2,145.5,106.9,35.6,70.9,180.9,244.7,112.5,60.4,85.7,130,60,34.6,53.4,68.4,90,45.7,76,83.1,119.2,108.6,93,130.2,43.8,148.8,50,304.9,78.8,85,59.7,84.6,39.5,251.4,63,108.4,145.7,37.5,143.5,92.7,78.5,100,140.9,43.7,74.4,82.4,101.6
15,180,263.9,152.3,145.5,186.3,97.7,257.7,36.7,127.9,184.7,158.9,108,58.4,81,127.5,56.1,29.1,49.8,69.1,89.9,43.6,72,115.7,242.7,108.3,89.4,120.9,66.7,120,47.4,300,77.3,89.7,63.5,90.4,47.4,301.2,76.7,156.9,244.6,44.2,250,100.4,70.5,151.6,191.7,85.5,74.2,76.4,119.8
14,205.7,280.9,148.7,90.6,178.6,73.9,105.9,41.5,71.4,149.7,85.4,104.2,61.3,91.3,97.5,50.2,26.4,54.6,67.4,116.9,44.4,77.7,188,255.5,107.2,82.5,118.6,102,115.2,45.9,247.8,76.4,69.6,63.6,107.7,59.5,268.8,105,112.2,397.4,83.2,301.5,90.6,127.7,99,190.4,192.7,101.3,90,87
13,166.5,191.7,141.6,75.2,222.2,56.9,96.7,30.3,79.7,135.5,90.3,98.5,39.1,58.7,112.5,44.3,25,46.5,55.7,123.5,49.2,60.3,75.5,138.6,117.3,72.1,116.8,117.9,70.4,45.1,150.4,72,73.8,40,78.6,45,112.1,120,113.4,259.2,52.5,220.6,60.4,96.8,82,137.5,119.4,105.5,73,76.1
12,163.8,200.7,128.6,80,253.3,55.8,93.6,38.6,116.9,169.5,127.6,91.2,37.2,61.5,106.7,47,28.8,46.5,55,127.9,50,58.2,74,108.5,112.5,68.2,115.9,122.4,53.3,42.2,141.6,68.8,95.6,44.1,75,40,112.7,115,122.5,83.9,55.3,228.8,51.4,58.8,103.3,151.3,102.8,66.3,69.6,80.9
11,223.1,174.5,112.7,81.1,242.1,57.6,111.6,56.3,168.4,141.2,154.9,76.7,37.2,68,93.3,44.2,30.2,51.4,56.9,133.8,50.9,60.4,82.3,83,102.9,65,114.5,103.2,55.7,36.2,141.3,67,90.8,45.8,75,40,108.5,108.4,118.8,43.3,49,231.8,53.3,49.9,167.6,138.2,110.9,43.9,60.7,84.6
10,264.9,146.7,110.8,69.4,225.3,59.5,102.8,62.5,243.5,121.1,80,61,42.3,66.7,70.6,48,32.7,66.4,53,123.9,47,57.6,97.4,98.3,92.7,53.2,111.8,79.3,60.8,32.4,136.8,62.5,99.6,58.9,70,34.8,86.5,100.9,111.3,49.2,37.8,175,51.4,52.9,138.2,107.9,99.3,35.7,64,89.6
9,232.7,118.2,112,64.7,140.4,55,96.6,73.3,214.7,110.3,70.5,46.2,44.3,64,51.8,54.4,36.5,83.7,49.2,117.7,47.6,55.3,120,76.9,86,50.5,113,48.3,51.7,32.7,133,60.5,63.4,52.2,69.7,41.3,65,88.2,105.9,41.4,28.8,98.5,52.7,57.7,83.5,94.6,97.2,31.4,65,86.3
8,214.5,95,113,66.7,99.4,47.7,74.4,88.2,146.6,63,66.7,41.7,38.2,60.4,51.8,54.5,37.7,93,46.8,84.3,43.1,50.5,60,48.1,87.7,48.5,107,38.5,46.2,33,125.7,60.7,49.7,37.2,70,36,57.4,77.7,95.6,32.2,23.8,43.5,54.5,50.6,50.9,78.8,75.8,27.5,60.4,85.1
7,106.7,85.6,106.7,74.3,88.6,46,60,106.3,112.1,51.5,65.1,46.9,29.6,50,55,51.9,32.7,106.2,42.9,53,37.9,49.7,37.6,44.4,82.6,48.6,97,37,36.7,31.1,120.2,62.9,34.9,30,57.6,27.1,48.8,69.3,86.1,21.4,19,25.9,60,41.4,37.5,72,26.8,23.4,51.1,106.3
6,56,85.1,111.3,74.1,70.2,47.1,48,121.1,104.5,44.9,57.5,47,28.2,50,49.4,51.5,33.9,110.3,43.4,54.2,34.6,44.8,32.5,54.3,87.4,50.6,93.3,32.6,33.3,25.3,122.5,66.3,29.6,26.7,50,26,48.2,65.5,79.2,13.5,18.3,21.4,86.5,37.6,39,76.7,23.8,19.1,43.9,95.9
5,50,82.7,111,81.9,80.6,47.9,43.5,128.3,109.3,41.5,58.1,47.5,23.9,52,55,56.1,35.1,110.6,41.9,58.6,36.5,40.4,51.4,56,92.3,54,94.1,32.6,35,23.1,124.5,70.3,26.2,27.4,44.6,28.8,52.5,65.9,82.8,13.5,20.4,22.4,125.6,50.4,40,69,25,15.4,48.5,75.9
4,60,77.6,116,81.9,71.2,48.1,36.1,132,108.6,41.6,59.3,49,23.2,50,51.8,58,37.5,107.8,39.2,49.7,41.1,37.5,61.7,64.4,99.4,53.1,94.8,37,35.2,23.9,121.5,72.4,21,26.7,40,34.6,51.4,58.3,82.4,13.5,22.9,27.6,132.6,58.8,37.2,63.1,19,15.6,46.9,73.1
3,52.7,67,114.6,79.9,79.7,46.9,34.2,129.2,111.5,36.9,62.1,50.9,40.5,56.8,56.5,56.4,53.4,111.3,40.9,46.7,42.2,28.9,58.3,69.2,101.2,45.3,96.7,41.3,35.2,27.7,104.8,74.4,23.8,25.1,37.5,39.4,51.4,54.8,85.9,11.8,26.2,25.9,121.6,52.1,40.9,61.6,19.5,15.2,45.6,64.9
2,60,62.4,112.8,81.7,90,43.7,33.9,113.8,110.7,31.1,61.3,51.4,51.1,50,54.1,53,84.1,108.9,37.6,40,44.8,24.7,48,67,104,40.3,97.4,39.6,38.4,25,98.8,76.2,23.8,24.2,39.4,43.2,53.8,51,85,14,30.4,24.1,107.5,52.2,44.1,65.5,25.7,16.7,49.1,62.2
1,63,52,108.6,79.9,87,45.4,31.1,94.6,91.2,26.2,64.5,55,72,45.8,54.7,48.8,103.2,92,38.9,58.2,63.7,26,27.6,49.6,102.9,35.7,96.6,41.7,35.2,24.7,94.1,77.9,24.5,25.5,47.7,46.7,54.1,52,93,15.1,35,29,111,58.2,70.6,64.3,22.5,17.2,49.1,52.9