year,year,month,day,hour,positive,count,context_c,weibo_c,context,weibo
2009,2009,12,29,23,0.389422,1,看魔女的条件看哭了，室友大惊。 ,1 ,"I cried while watching ""Terms for a Witch"" and shocked my roommate.",1
2010,2010,1,13,21,0.635582,1,,0 ,,0
2010,2010,5,26,18,0.256337,1,,0 ,,0
2010,2010,9,5,8,0.555823,1,,0 ,,
2010,2010,9,9,21,0.115724,1,,0 ,,
2010,2010,9,20,13,0.443792,1,,0 ,,
2010,2010,10,3,1,0.123913,1,,0 ,,
2010,2010,10,4,17,0.228266,1,,0 ,,
2010,2010,10,7,8,0.353043,1,,0 ,,
2010,2010,10,9,23,0.538116,1,,0 ,,
2010,2010,10,18,13,0.28114,1,,0 ,,
2010,2010,11,5,18,0.345199,1,,0 ,,
2010,2010,12,3,23,0.900235,1,,0 ,,
2010,2010,12,15,0,0.177195,1,,0 ,,
2010,2010,12,24,11,0.929336,1,,0 ,,
2010,2010,12,25,23,0.257109,1,,0 ,,
2010,2010,12,31,10,0.587532,1,,0 ,,
2011,2011,1,1,21,0.781743,1,,0 ,,
2011,2011,1,3,21,0.287998,1,,0 ,,
2011,2011,1,4,0,0.4199245,2,,0 ,,
2011,2011,1,5,20,0.38121,1,,0 ,,
2011,2011,1,6,14,0.556532,1,,0 ,,
2011,2011,1,8,13,0.152005,1,,0 ,,
2011,2011,1,11,19,0.726367,1,,0 ,,
2011,2011,1,11,20,0.91,1,,0 ,,
2011,2011,1,12,15,0.220168,1,看，他们转的多傻，快乐的人总是傻傻的 ? ,1 ,,
2011,2011,1,12,18,0.384715,1,,0 ,,
2011,2011,2,12,22,0.284938,1,,0 ,,
2011,2011,2,14,17,0.799175,1,,0 ,,
2011,2011,2,15,20,0.715383,1,,0 ,,
2011,2011,2,17,0,0.46,1,,0 ,,
2011,2011,2,20,22,0.370232,1,,0 ,,
2011,2011,2,24,11,0.5545495,2,,0 ,,
2011,2011,2,24,22,0.716967,1,,0 ,,
2011,2011,2,25,16,0.0919393,1,,0 ,,
2011,2011,2,28,23,0.270432,1,,0 ,,
2011,2011,3,1,23,0.854726,1,,0 ,,
2011,2011,3,3,8,0.557037,2,,0 ,,
2011,2011,3,3,23,0.413737,1,,0 ,,
2011,2011,3,4,21,0.678781,2,,0 ,,
2011,2011,3,5,18,0.211693,1,,0 ,,
2011,2011,3,6,12,0.44808,1,,0 ,,
2011,2011,3,6,23,0.125111,1,,0 ,,
2011,2011,3,8,21,0.342207,1,,0 ,,
2011,2011,3,15,20,0.612023,1,,0 ,,
2011,2011,3,16,8,0.626316,1,,0 ,,
2011,2011,3,16,19,0.509309,1,,0 ,,
2011,2011,3,17,17,0.392847,1,我的人生最无法抗拒之事之一是发神经，之二是发病，之三是憋尿。 ,1 ,"Three things I can't help doing in my life: flipping out, feeling depressed, and holding in my pee.",1
2011,2011,3,17,19,0.533255,1,,0 ,,
2011,2011,3,18,19,0.325411,1,,0 ,,
2011,2011,3,19,21,0.74,1,,0 ,,
2011,2011,3,24,20,0.348569,1,,0 ,,
2011,2011,3,26,12,0.0262956,1,,0 ,,
2011,2011,4,1,8,0.485205,1,,0 ,,
2011,2011,4,3,21,0.381536,1,,0 ,,
2011,2011,4,3,22,0.0474578,1,,0 ,,
2011,2011,4,5,15,0.40045,1,,0 ,,
2011,2011,4,5,20,0.6370765,2,,0 ,,
2011,2011,4,11,16,0.322355,1,,0 ,,
2011,2011,4,14,19,0.878029,1,,0 ,,
2011,2011,4,15,10,0.666222,1,,0 ,,
2011,2011,4,15,22,0.814604,1,,0 ,,
2011,2011,4,15,23,0.689472,1,,0 ,,
2011,2011,4,16,17,0.50747,1,,0 ,,
2011,2011,4,16,19,0.753193,1,,0 ,,
2011,2011,4,17,11,0.185479,1,,0 ,,
2011,2011,4,17,22,0.403224,1,,0 ,,
2011,2011,4,18,11,0.824913,1,,0 ,,
2011,2011,4,19,7,0.560118,1,,0 ,,
2011,2011,4,19,21,0.637396,1,,0 ,,
2011,2011,4,20,18,0.49627,1,,0 ,,
2011,2011,4,20,20,0.25232,1,,0 ,,
2011,2011,4,21,22,0.333078,1,,0 ,,
2011,2011,4,21,23,0.53,1,,0 ,,
2011,2011,4,23,0,0.520058,1,,0 ,,
2011,2011,4,23,21,0.346748,1,,0 ,,
2011,2011,4,24,0,0.557678,1,,0 ,,
2011,2011,4,24,18,0.564124,1,,0 ,,
2011,2011,4,25,22,0.583541,2,,0 ,,
2011,2011,4,27,0,0.501109,1,,0 ,,
2011,2011,4,28,11,0.26,1,,0 ,,
2011,2011,4,28,22,0.268014,1,,0 ,,
2011,2011,4,30,15,0.28,1,,0 ,,
2011,2011,5,1,1,0.0828649,1,,0 ,,
2011,2011,5,1,20,0.87151,1,,0 ,,
2011,2011,5,1,23,0.517055,1,,0 ,,
2011,2011,5,2,1,0.3812315,2,"为了想出让我入睡的理由,我一直不愿睡去 ",1 ,"To think of a reason to go to sleep, I'm not going to sleep.",1
2011,2011,5,2,14,0.169344,1,,0 ,,
2011,2011,5,4,10,0.153927,1,,0 ,,
2011,2011,5,4,11,0.357951,1,,0 ,,
2011,2011,5,4,12,0.0763342,1,,0 ,,
2011,2011,5,5,12,0.861986,1,,0 ,,
2011,2011,5,6,3,0.683277,1,,0 ,,
2011,2011,5,7,9,0.155028,1,,0 ,,
2011,2011,5,8,13,0.342581,2,,0 ,,
2011,2011,5,9,9,0.830775,1,,0 ,,
2011,2011,5,12,19,0.343521,1,,0 ,,
2011,2011,5,13,15,0.132656,1,,0 ,,
2011,2011,5,13,20,0.388016,2,,0 ,,
2011,2011,5,14,22,0.111495,1,,0 ,,
2011,2011,5,15,8,0.259417,1,,0 ,,
2011,2011,5,16,12,0.157186,1,,0 ,,
2011,2011,5,17,8,0.0742421,1,,0 ,,
2011,2011,5,17,23,0.530867,3,,0 ,,
2011,2011,5,19,16,0.297706,1,,0 ,,
2011,2011,5,20,15,0.2877845,2,风扇掉下来 掉下来 掉下来 掉下来 掉下来 掉下来 掉下来 掉下来 掉下来 掉下来 ,1 ,"The ceiling fan's falling, falling, falling, falling, falling, falling, falling, falling, falling, falling",1
2011,2011,5,21,15,0.455978,2,,0 ,,
2011,2011,5,21,23,0.415288,1,,0 ,,
2011,2011,5,22,6,0.311108,1,,0 ,,
2011,2011,5,22,11,0.212479,2,,0 ,,
2011,2011,5,22,12,0.495721,1,,0 ,,
2011,2011,5,22,13,0.403019,1,,0 ,,
2011,2011,5,22,22,0.547525,1,,0 ,,
2011,2011,5,22,23,0.6027335,2,,0 ,,
2011,2011,5,23,13,0.830485,1,,0 ,,
2011,2011,5,23,15,0.658954,1,,0 ,,
2011,2011,5,24,20,0.391866,1,,0 ,,
2011,2011,5,25,22,0.0285328,1,,0 ,,
2011,2011,5,25,23,0.394336,1,,0 ,,
2011,2011,5,26,8,0.590213,1,,0 ,,
2011,2011,5,26,9,0.242767,1,,0 ,,
2011,2011,5,26,23,0.27894,1,,0 ,,
2011,2011,5,27,12,0.514362667,3,,0 ,,
2011,2011,5,27,18,0.500529,2,,0 ,,
2011,2011,5,27,21,0.0534346,1,,0 ,,
2011,2011,5,28,2,0.162486,1,,0 ,,
2011,2011,5,28,11,0.672284,2,,0 ,,
2011,2011,5,28,19,0.356362,1,刚才我听到楼下谁吐痰的声音，跟我妈很像，甚想念,1 ,The sound of someone spitting downstairs was just like my mom. Miss her so much.,1
2011,2011,5,28,20,0.491229,1,,0 ,,
2011,2011,5,28,23,0.451410333,3,,0 ,,
2011,2011,5,29,10,0.321124,1,,0 ,,
2011,2011,5,29,14,0.304433333,3,,0 ,,
2011,2011,5,29,16,0.86728,1,,0 ,,
2011,2011,5,29,19,0.493133,2,,0 ,,
2011,2011,5,29,21,0.526279,1,,0 ,,
2011,2011,5,29,22,0.688248,2,,0 ,,
2011,2011,5,29,23,0.4150366,5,,0 ,,
2011,2011,5,30,10,0.4360085,2,,0 ,,
2011,2011,5,30,16,0.25843895,2,,0 ,,
2011,2011,5,30,22,0.844352,1,,0 ,,
2011,2011,5,31,8,0.408477,1,,0 ,,
2011,2011,5,31,15,0.496950333,3,,0 ,,
2011,2011,5,31,21,0.319498467,3,,0 ,,
2011,2011,5,31,22,0.68049,1,,0 ,,
2011,2011,5,31,23,0.470023667,3,,0 ,,
2011,2011,6,1,8,0.198338,1,,0 ,,
2011,2011,6,1,19,0.676089,1,,0 ,,
2011,2011,6,1,22,0.4526774,2,,0 ,,
2011,2011,6,1,23,0.344668,2,,0 ,,
2011,2011,6,2,9,0.4091365,2,,0 ,,
2011,2011,6,2,16,0.189082,1,,0 ,,
2011,2011,6,2,20,0.176081,1,,0 ,,
2011,2011,6,2,21,0.5575125,2,,0 ,,
2011,2011,6,2,22,0.318196,1,,0 ,,
2011,2011,6,2,23,0.128139,1,,0 ,,
2011,2011,6,3,12,0.572147,1,,0 ,,
2011,2011,6,3,13,0.343294,1,,0 ,,
2011,2011,6,3,16,0.438850333,3,,0 ,,
2011,2011,6,3,20,0.528595,2,,0 ,,
2011,2011,6,3,22,0.668823,3,,0 ,,
2011,2011,6,4,5,0.5910235,2,,0 ,,
2011,2011,6,4,7,0.44359,2,,0 ,,
2011,2011,6,4,11,0.535695,1,,0 ,,
2011,2011,6,4,18,0.0533489,1,,0 ,,
2011,2011,6,4,19,0.1668175,2,我是一个屁，只可惜我放不了自己,1 ,,
2011,2011,6,4,21,0.0310398,1,,0 ,,
2011,2011,6,5,21,0.0641876,1,,0 ,,
2011,2011,6,5,22,0.579713,1,,0 ,,
2011,2011,6,6,11,0.0693449,1,,0 ,,
2011,2011,6,6,13,0.101843145,2,,0 ,,
2011,2011,6,6,14,0.132593,1,,0 ,,
2011,2011,6,6,21,0.622852,1,,0 ,,
2011,2011,6,7,7,0.521754,1,,0 ,,
2011,2011,6,7,10,0.566508,1,,0 ,,
2011,2011,6,7,21,0.530944,1,,0 ,,
2011,2011,6,7,23,0.530489,2,,0 ,,
2011,2011,6,8,0,0.7062695,2,,0 ,,
2011,2011,6,8,9,0.3254817,3,,0 ,,
2011,2011,6,8,11,0.604612,1,,0 ,,
2011,2011,6,8,12,0.152922,1,,0 ,,
2011,2011,6,8,22,0.75824,1,,0 ,,
2011,2011,6,8,23,0.58884,1,,0 ,,
2011,2011,6,9,0,0.627314,1,,0 ,,
2011,2011,6,9,8,0.681458,2,,0 ,,
2011,2011,6,9,9,0.213433,2,,0 ,,
2011,2011,6,9,13,0.669945,1,,0 ,,
2011,2011,6,9,17,0.77444,2,,0 ,,
2011,2011,6,9,18,0.0489543,1,,0 ,,
2011,2011,6,9,20,0.457545,1,,0 ,,
2011,2011,6,9,22,0.274011,1,,0 ,,
2011,2011,6,10,6,0.2888385,2,,0 ,,
2011,2011,6,10,12,0.868111,1,,0 ,,
2011,2011,6,10,14,0.603101,2,,0 ,,
2011,2011,6,10,21,0.10370785,2,,0 ,,
2011,2011,6,10,22,0.428238333,3,,0 ,,
2011,2011,6,10,23,0.554397,2,,0 ,,
2011,2011,6,11,0,0.463418,4,,0 ,,
2011,2011,6,11,8,0.664687,1,,0 ,,
2011,2011,6,11,23,0.448124425,4,,0 ,,
2011,2011,6,12,5,0.158399,1,,0 ,,
2011,2011,6,12,6,0.2904404,3,,0 ,,
2011,2011,6,13,21,0.461285,1,,0 ,,
2011,2011,6,13,23,0.2636305,2,,0 ,,
2011,2011,6,14,8,0.598062,1,,0 ,,
2011,2011,6,14,16,0.414414,1,,0 ,,
2011,2011,6,14,20,0.0653547,1,,0 ,,
2011,2011,6,14,23,0.687654,3,,0 ,,
2011,2011,6,15,2,0.193741,1,,0 ,,
2011,2011,6,15,3,0.203984,1,,0 ,,
2011,2011,6,15,10,0.4939639,2,,0 ,,
2011,2011,6,15,11,0.208479,1,,0 ,,
2011,2011,6,15,16,0.45,1,小学时我妈的要求是：90分以上。初中时我妈的要求是：70分以上。高中时我妈的要求是：及格就好。现在我妈的要求是：活着。提出这些要求对一些母亲很难，但我妈做到了，我妈真得很棒！,1 ,,
2011,2011,6,15,17,0.60749,2,,0 ,,
2011,2011,6,15,18,0.375997,1,,0 ,,
2011,2011,6,15,23,0.0923925,1,,0 ,,
2011,2011,6,16,0,0.707556,1,,0 ,,
2011,2011,6,16,3,0.293682,2,,0 ,,
2011,2011,6,16,13,0.683789,2,,0 ,,
2011,2011,6,16,15,0.3171919,2,,0 ,,
2011,2011,6,16,16,0.328045,1,,0 ,,
2011,2011,6,16,20,0.349144,1,,0 ,,
2011,2011,6,16,22,0.558915667,3,,0 ,,
2011,2011,6,16,23,0.208928,2,,0 ,,
2011,2011,6,17,8,0.44,1,,0 ,,
2011,2011,6,17,12,0.531853,1,,0 ,,
2011,2011,6,17,15,0.126817,2,,0 ,,
2011,2011,6,17,19,0.548079,1,,0 ,,
2011,2011,6,17,21,0.535972,1,,0 ,,
2011,2011,6,18,0,0.6016055,4,,0 ,,
2011,2011,6,18,4,0.3124875,2,,0 ,,
2011,2011,6,18,12,0.288458667,3,,0 ,,
2011,2011,6,18,22,0.361824,1,,0 ,,
2011,2011,6,18,23,0.725084,1,,0 ,,
2011,2011,6,19,6,0.6404625,2,,0 ,,
2011,2011,6,19,11,0.399029,2,,0 ,,
2011,2011,6,19,12,0.506087,2,,0 ,,
2011,2011,6,19,14,0.535191,1,,0 ,,
2011,2011,6,19,23,0.463094,1,,0 ,,
2011,2011,6,20,13,0.302579,1,,0 ,,
2011,2011,6,20,15,0.728526,2,,0 ,,
2011,2011,6,20,16,0.353068475,4,,0 ,,
2011,2011,6,20,21,0.29269305,2,,0 ,,
2011,2011,6,20,22,0.32301045,4,,0 ,,
2011,2011,6,20,23,0.366755,2,,0 ,,
2011,2011,6,21,0,0.0962798,1,,0 ,,
2011,2011,6,21,10,0.85446,1,,0 ,,
2011,2011,6,21,11,0.0869875,1,,0 ,,
2011,2011,6,21,15,0.376189125,4,,0 ,,
2011,2011,6,21,16,0.366396485,2,,0 ,,
2011,2011,6,21,17,0.63,1,,0 ,,
2011,2011,6,21,18,0.661911,1,,0 ,,
2011,2011,6,21,22,0.387400167,3,,0 ,,
2011,2011,6,21,23,0.4026978,3,最无用和最常用的一句祈使句是：加油！ 所以我有时会换成干巴爹,1 ,,
2011,2011,6,22,7,0.3414885,4,,0 ,,
2011,2011,6,22,10,0.3066475,2,,0 ,,
2011,2011,6,22,11,0.446206,1,,0 ,,
2011,2011,6,22,12,0.609936,1,,0 ,,
2011,2011,6,22,14,0.234068,1,,0 ,,
2011,2011,6,22,16,0.428387,1,,0 ,,
2011,2011,6,22,17,0.783544,1,,0 ,,
2011,2011,6,22,18,0.689794,1,,0 ,,
2011,2011,6,22,19,0.652178,1,,0 ,,
2011,2011,6,22,20,0.44,1,,0 ,,
2011,2011,6,22,21,0.301221667,3,,0 ,,
2011,2011,6,22,23,0.318744333,3,,0 ,,
2011,2011,6,23,11,0.603806,2,,0 ,,
2011,2011,6,23,13,0.427309,2,,0 ,,
2011,2011,6,23,15,0.3515145,2,,0 ,,
2011,2011,6,23,16,0.41679,2,,0 ,,
2011,2011,6,23,18,0.5529155,2,,0 ,,
2011,2011,6,23,20,0.367614333,3,,0 ,,
2011,2011,6,23,22,0.577226,2,,0 ,,
2011,2011,6,24,0,0.50588225,4,,0 ,,
2011,2011,6,24,1,0.419979167,6,,0 ,,
2011,2011,6,24,10,0.844647,1,,0 ,,
2011,2011,6,24,19,0.40273,1,,0 ,,
2011,2011,6,24,20,0.161347,1,,0 ,,
2011,2011,6,24,21,0.193001048,5,,0 ,,
2011,2011,6,24,22,0.07364605,2,,0 ,,
2011,2011,6,24,23,0.777655,1,,0 ,,
2011,2011,6,25,10,0.338641,3,,0 ,,
2011,2011,6,25,13,0.751718,1,,0 ,,
2011,2011,6,25,15,0.414754,1,,0 ,,
2011,2011,6,25,17,0.777747,1,,0 ,,
2011,2011,6,26,0,0.316092,2,,0 ,,
2011,2011,6,26,4,0.2619228,2,,0 ,,
2011,2011,6,26,7,0.792883,1,,0 ,,
2011,2011,6,26,11,0.437193,1,,0 ,,
2011,2011,6,26,12,0.1487493,2,,0 ,,
2011,2011,6,26,14,0.569735,1,,0 ,,
2011,2011,6,26,17,0.0895193,2,,0 ,,
2011,2011,6,26,19,0.360709,1,,0 ,,
2011,2011,6,26,21,0.0803408,1,,0 ,,
2011,2011,6,26,23,0.572467,3,,0 ,,
2011,2011,6,27,0,0.356382,1,我有多讨厌吃饭，我就有多想你。厌食症患者说。 ,1 ,"I miss you as much as I hate eating, said someone with anorexia.",1
2011,2011,6,27,8,0.312418,1,,0 ,,
2011,2011,6,27,12,0.426633,2,,0 ,,
2011,2011,6,27,15,0.206097667,3,,0 ,,
2011,2011,6,27,16,0.5300535,2,,0 ,,
2011,2011,6,27,17,0.524027067,3,,0 ,,
2011,2011,6,27,18,0.682734,1,,0 ,,
2011,2011,6,27,22,0.629631,1,,0 ,,
2011,2011,6,27,23,0.406512333,3,,0 ,,
2011,2011,6,28,0,0.217972,1,,0 ,,
2011,2011,6,28,3,0.581704,1,,0 ,,
2011,2011,6,28,4,0.961661,1,,0 ,,
2011,2011,6,28,9,0.625825,1,,0 ,,
2011,2011,6,28,14,0.138248,1,,0 ,,
2011,2011,6,28,16,0.447497367,3,,0 ,,
2011,2011,6,28,18,0.456296067,3,,0 ,,
2011,2011,6,28,23,0.552776,2,,0 ,,
2011,2011,6,29,0,0.406675,3,,0 ,,
2011,2011,6,29,11,0.0831049,1,,0 ,,
2011,2011,6,29,12,0.269791,1,,0 ,,
2011,2011,6,29,14,0.0346673,1,,0 ,,
2011,2011,6,29,15,0.5834105,2,,0 ,,
2011,2011,6,29,20,0.21356,2,,0 ,,
2011,2011,6,29,21,0.083321,1,,0 ,,
2011,2011,6,30,11,0.0273648,1,,0 ,,
2011,2011,6,30,20,0.398706,3,在你的记忆中哪一天最恐怖一想到就痛苦不堪？   #明天# ,1 ,Which day in your memories is too horrible to think about? #tomorrow#,1
2011,2011,6,30,22,0.435631667,3,,0 ,,
2011,2011,6,30,23,0.769343,1,,0 ,,
2011,2011,7,1,12,0.269037967,3,,0 ,,
2011,2011,7,1,17,0.429229,1,,0 ,,
2011,2011,7,1,19,0.364255,1,,0 ,,
2011,2011,7,1,20,0.453821,1,,0 ,,
2011,2011,7,2,1,0.673699,1,,0 ,,
2011,2011,7,2,5,0.431293,1,,0 ,,
2011,2011,7,2,10,0.558991,3,,0 ,,
2011,2011,7,2,12,0.385276,1,,0 ,,
2011,2011,7,2,13,0.744511,1,,0 ,,
2011,2011,7,2,16,0.47,1,,0 ,,
2011,2011,7,2,17,0.488989,4,,0 ,,
2011,2011,7,3,0,0.11395,1,,0 ,,
2011,2011,7,3,1,0.724735,1,,0 ,,
2011,2011,7,3,9,0.234341,1,,0 ,,
2011,2011,7,3,11,0.0474895,1,,0 ,,
2011,2011,7,3,15,0.095636767,3,,0 ,,
2011,2011,7,3,17,0.160894,1,,0 ,,
2011,2011,7,3,20,0.440427,1,,0 ,,
2011,2011,7,3,22,0.2909,1,,0 ,,
2011,2011,7,3,23,0.488613,1,,0 ,,
2011,2011,7,4,0,0.32036,1,,0 ,,
2011,2011,7,4,1,0.967231,1,,0 ,,
2011,2011,7,4,15,0.108288,1,,0 ,,
2011,2011,7,4,19,0.500171,1,,0 ,,
2011,2011,7,4,22,0.528140667,3,,0 ,,
2011,2011,7,4,23,0.2291345,2,,0 ,,
2011,2011,7,5,2,0.0550356,1,,0 ,,
2011,2011,7,5,14,0.152855,1,,0 ,,
2011,2011,7,5,15,0.789531,1,,0 ,,
2011,2011,7,5,17,0.4937832,5,,0 ,,
2011,2011,7,5,18,0.115695,1,我不知道我为什么得这个病我不知道能不能不要再问我 ,1 ,I don't know why I have this disease. I really don't know. Please stop asking me.,1
2011,2011,7,5,20,0.514661,1,,0 ,,
2011,2011,7,6,1,0.1978939,4,,0 ,,
2011,2011,7,6,11,0.530316,1,,0 ,,
2011,2011,7,6,15,0.1349029,3,,0 ,,
2011,2011,7,6,20,0.54,1,,0 ,,
2011,2011,7,6,22,0.0159564,1,,0 ,,
2011,2011,7,6,23,0.6785855,2,,0 ,,
2011,2011,7,7,0,0.578503,1,,0 ,,
2011,2011,7,7,1,0.465562333,3,,0 ,,
2011,2011,7,7,11,0.370859,1,,0 ,,
2011,2011,7,7,18,0.149944,1,,0 ,,
2011,2011,7,7,22,0.0959537,1,,0 ,,
2011,2011,7,8,0,0.414958,3,,0 ,,
2011,2011,7,8,1,0.6878255,2,,0 ,,
2011,2011,7,8,9,0.0567763,1,,0 ,,
2011,2011,7,8,14,0.857959,1,,0 ,,
2011,2011,7,8,17,0.2187255,2,,0 ,,
2011,2011,7,8,19,0.654855667,3,,0 ,,
2011,2011,7,8,21,0.4338465,2,,0 ,,
2011,2011,7,9,0,0.402542,2,讨那么多人的欢喜也不如讨自己欢喜来得重要,1 ,Making so many people happy is still not as important as making yourself happy.,1
2011,2011,7,9,2,0.0373596,1,,0 ,,
2011,2011,7,9,8,0.546841,3,,0 ,,
2011,2011,7,9,10,0.50167,1,,0 ,,
